"Topic_code","Topic_desc","DataSet_code","DataSet_desc","Reporter_code","Reporter_desc","Flow_code","Flow_desc","Indicator_code","Indicator_desc","Partner_code","Partner_desc","Unit_code","Unit_desc","Year","Value","Value_flag","Notes_Export"
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AG","Agricultural products","WL","World","UC","US dollar at current prices",1980,2281700255," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AG","Agricultural products","WL","World","UC","US dollar at current prices",1981,2150195707," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AG","Agricultural products","WL","World","UC","US dollar at current prices",1982,1961108138," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AG","Agricultural products","WL","World","UC","US dollar at current prices",1983,1872884202,"E","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AG","Agricultural products","WL","World","UC","US dollar at current prices",1984,2289258772,"E","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AG","Agricultural products","WL","World","UC","US dollar at current prices",1985,1978587128,"E","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AG","Agricultural products","WL","World","UC","US dollar at current prices",1986,2801336299,"E","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AG","Agricultural products","WL","World","UC","US dollar at current prices",1987,2962759872,"E","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AG","Agricultural products","WL","World","UC","US dollar at current prices",1988,3203353496," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AG","Agricultural products","WL","World","UC","US dollar at current prices",1989,3274731378,"E","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AG","Agricultural products","WL","World","UC","US dollar at current prices",1990,3466086395," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AG","Agricultural products","WL","World","UC","US dollar at current prices",1991,3892745000," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AG","Agricultural products","WL","World","UC","US dollar at current prices",1992,3838662080," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AG","Agricultural products","WL","World","UC","US dollar at current prices",1993,4442012104," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AG","Agricultural products","WL","World","UC","US dollar at current prices",1994,5071329107," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AG","Agricultural products","WL","World","UC","US dollar at current prices",1995,7188943216," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AG","Agricultural products","WL","World","UC","US dollar at current prices",1996,7239425408," ","Coverage: Includes processing zones" 
